# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715279.66214 0.180634 0.032731 0.161087 0.822031 -0.018552 0.568990 0.013082 0.0000012333 0.0000004849 0.0000000893 0.0000009392 -0.0000000170 0.0000003425 0.0000159154 0.0000045383 0.0000085026 0.0000149735 0.0000025636 0.0000114539
1403715279.71214 0.185590 0.032155 0.165447 0.822049 -0.018570 0.568964 0.013043 0.0000012947 0.0000005113 0.0000000863 0.0000009985 -0.0000000197 0.0000003725 0.0000180570 0.0000049556 0.0000089716 0.0000160949 0.0000027108 0.0000120206
1403715279.76214 0.190513 0.031488 0.170656 0.822319 -0.018590 0.568576 0.012907 0.0000013579 0.0000005383 0.0000000823 0.0000010605 -0.0000000230 0.0000004044 0.0000205772 0.0000054155 0.0000094546 0.0000174093 0.0000028736 0.0000126987
1403715279.81214 0.195174 0.030520 0.176435 0.822632 -0.018956 0.568119 0.012594 0.0000014236 0.0000005657 0.0000000783 0.0000011246 -0.0000000267 0.0000004383 0.0000235275 0.0000059211 0.0000099518 0.0000189496 0.0000030553 0.0000135066
1403715279.86214 0.199581 0.029274 0.182834 0.823065 -0.018837 0.567496 0.012519 0.0000014898 0.0000005941 0.0000000737 0.0000011926 -0.0000000309 0.0000004742 0.0000269677 0.0000064764 0.0000104632 0.0000207527 0.0000032586 0.0000144624
1403715279.91214 0.204050 0.027916 0.189808 0.823686 -0.018834 0.566592 0.012653 0.0000015576 0.0000006232 0.0000000688 0.0000012637 -0.0000000354 0.0000005119 0.0000309636 0.0000070853 0.0000109875 0.0000228573 0.0000034853 0.0000155844
1403715279.96214 0.208691 0.026430 0.196890 0.825354 -0.018643 0.564159 0.012988 0.0000016266 0.0000006529 0.0000000600 0.0000013384 -0.0000000424 0.0000005513 0.0000355827 0.0000077506 0.0000115226 0.0000253046 0.0000037384 0.0000168924
1403715280.01214 0.210608 0.029425 0.205202 0.828781 -0.018650 0.559110 0.013036 0.0000016352 0.0000005837 0.0000000874 0.0000012576 0.0000000198 0.0000005177 0.0000385978 0.0000094679 0.0000115907 0.0000259813 0.0000032581 0.0000176125
1403715280.06214 0.206343 0.029018 0.214113 0.832837 -0.018425 0.553065 0.012765 0.0000015993 0.0000005336 0.0000000299 0.0000008417 -0.0000000066 0.0000003522 0.0000239230 0.0000058065 0.0000076722 0.0000174072 0.0000034189 0.0000141243
1403715280.11214 0.197085 0.026500 0.221336 0.836305 -0.016339 0.547817 0.014992 0.0000015914 0.0000004884 -0.0000000070 0.0000007452 -0.0000000250 0.0000003484 0.0000164202 0.0000043878 0.0000072890 0.0000161263 0.0000033679 0.0000121729
1403715280.16214 0.197352 0.023158 0.228719 0.838401 -0.014342 0.544598 0.017066 0.0000016197 0.0000004799 -0.0000000374 0.0000007479 -0.0000000450 0.0000003565 0.0000158186 0.0000032656 0.0000075221 0.0000156838 0.0000031715 0.0000132320
1403715280.21214 0.201764 0.021795 0.237239 0.839234 -0.011181 0.543246 0.021079 0.0000016731 0.0000005059 -0.0000000439 0.0000007738 -0.0000000472 0.0000003774 0.0000172774 0.0000034365 0.0000081441 0.0000163547 0.0000032468 0.0000144840
1403715280.26214 0.206091 0.020742 0.246347 0.838855 -0.008355 0.543726 0.024800 0.0000017171 0.0000005238 -0.0000000354 0.0000007729 -0.0000000417 0.0000003810 0.0000179331 0.0000036256 0.0000086556 0.0000168480 0.0000032715 0.0000157916
1403715280.31214 0.210764 0.020661 0.255647 0.837928 -0.006017 0.545051 0.027556 0.0000017689 0.0000005409 -0.0000000306 0.0000007877 -0.0000000404 0.0000003866 0.0000181283 0.0000038239 0.0000094688 0.0000173127 0.0000032408 0.0000173794
1403715280.36214 0.213025 0.019312 0.264660 0.836341 -0.004377 0.547386 0.029717 0.0000017982 0.0000005386 -0.0000000230 0.0000006721 -0.0000000338 0.0000002733 0.0000168019 0.0000034893 0.0000094921 0.0000172324 0.0000034688 0.0000183775
1403715280.41214 0.220644 0.020242 0.274072 0.834733 -0.003929 0.549689 0.032362 0.0000018433 0.0000005476 -0.0000000155 0.0000006720 -0.0000000528 0.0000002263 0.0000178439 0.0000034431 0.0000104551 0.0000175511 0.0000034594 0.0000202309
1403715280.46214 0.229529 0.022021 0.283188 0.833951 -0.007063 0.550845 0.032329 0.0000019004 0.0000005530 -0.0000000187 0.0000006604 -0.0000000512 0.0000002362 0.0000189629 0.0000034943 0.0000114510 0.0000178075 0.0000036081 0.0000219170
1403715280.51214 0.237285 0.023782 0.292744 0.832655 -0.013557 0.552740 0.031301 0.0000019679 0.0000005481 -0.0000000118 0.0000006614 -0.0000000502 0.0000002461 0.0000198139 0.0000033744 0.0000131787 0.0000184556 0.0000038237 0.0000234317
1403715280.56214 0.246500 0.027456 0.301595 0.831453 -0.021018 0.554307 0.031434 0.0000019866 0.0000005141 -0.0000000084 0.0000006298 -0.0000000410 0.0000002519 0.0000205091 0.0000037606 0.0000142631 0.0000182675 0.0000042334 0.0000243926
1403715280.61214 0.257174 0.030643 0.309985 0.829981 -0.029794 0.556030 0.032766 0.0000020671 0.0000005099 0.0000000004 0.0000006396 -0.0000000337 0.0000002626 0.0000224902 0.0000041597 0.0000157852 0.0000189738 0.0000044433 0.0000267761
1403715280.66214 0.264062 0.033720 0.321373 0.828547 -0.038860 0.557357 0.036781 0.0000019660 0.0000004429 0.0000000259 0.0000005830 0.0000000005 0.0000002463 0.0000189022 0.0000056683 0.0000154372 0.0000175729 0.0000059615 0.0000230280
1403715280.71214 0.273928 0.035819 0.329361 0.827063 -0.048975 0.558454 0.041205 0.0000019424 0.0000004291 0.0000000322 0.0000005766 0.0000000071 0.0000002523 0.0000192178 0.0000064333 0.0000161626 0.0000173103 0.0000061919 0.0000221283
1403715280.76214 0.285353 0.039859 0.336056 0.826060 -0.059532 0.558444 0.047127 0.0000018752 0.0000003896 0.0000000386 0.0000005368 0.0000000074 0.0000002592 0.0000207136 0.0000069030 0.0000172250 0.0000168141 0.0000065249 0.0000229297
1403715280.81214 0.297747 0.042608 0.342713 0.825368 -0.070364 0.557650 0.053328 0.0000019335 0.0000003820 0.0000000431 0.0000005471 0.0000000135 0.0000002715 0.0000229498 0.0000075365 0.0000190375 0.0000173744 0.0000069653 0.0000245455
1403715280.86214 0.309612 0.044970 0.349509 0.823833 -0.080825 0.557813 0.060093 0.0000019876 0.0000003730 0.0000000515 0.0000005554 0.0000000218 0.0000002813 0.0000250810 0.0000082020 0.0000206567 0.0000178931 0.0000074037 0.0000259100
1403715280.91214 0.322201 0.048232 0.356232 0.822564 -0.090409 0.557458 0.066746 0.0000020482 0.0000003709 0.0000000561 0.0000005682 0.0000000281 0.0000002933 0.0000275853 0.0000089421 0.0000224810 0.0000185068 0.0000078885 0.0000274044
1403715280.96214 0.334087 0.051062 0.361539 0.821282 -0.098485 0.557275 0.072396 0.0000021064 0.0000003692 0.0000000588 0.0000005809 0.0000000333 0.0000003051 0.0000302489 0.0000097276 0.0000243496 0.0000190784 0.0000083891 0.0000288768
1403715281.01214 0.346852 0.054883 0.368367 0.820146 -0.105918 0.556960 0.077055 0.0000021639 0.0000003672 0.0000000601 0.0000005942 0.0000000385 0.0000003165 0.0000331872 0.0000105308 0.0000263533 0.0000197034 0.0000088667 0.0000304283
1403715281.06214 0.359165 0.058412 0.374351 0.819545 -0.111728 0.556020 0.081878 0.0000022259 0.0000003691 0.0000000578 0.0000006081 0.0000000436 0.0000003258 0.0000361929 0.0000114527 0.0000282732 0.0000203476 0.0000094442 0.0000318581
1403715281.11214 0.372273 0.061792 0.381279 0.818696 -0.116889 0.555650 0.085599 0.0000022854 0.0000003696 0.0000000574 0.0000006207 0.0000000485 0.0000003351 0.0000391250 0.0000124353 0.0000298085 0.0000210880 0.0000100651 0.0000326149
1403715281.16214 0.385132 0.064355 0.386698 0.817804 -0.120900 0.555593 0.088862 0.0000023425 0.0000003738 0.0000000565 0.0000006364 0.0000000540 0.0000003436 0.0000427583 0.0000135756 0.0000318884 0.0000217779 0.0000108027 0.0000339168
1403715281.21214 0.398511 0.066965 0.392136 0.817223 -0.124734 0.555123 0.091798 0.0000022789 0.0000003610 0.0000000480 0.0000006500 0.0000000575 0.0000003538 0.0000466428 0.0000142759 0.0000340953 0.0000216321 0.0000111750 0.0000353037
1403715281.26214 0.408277 0.065725 0.395596 0.816579 -0.129391 0.554631 0.094030 0.0000021225 0.0000003026 0.0000000503 0.0000005228 0.0000000278 0.0000002696 0.0000360613 0.0000123042 0.0000252046 0.0000200869 0.0000093912 0.0000272868
1403715281.31214 0.412982 0.064943 0.392196 0.816145 -0.134508 0.553524 0.097088 0.0000020308 0.0000002771 0.0000000386 0.0000004859 0.0000000250 0.0000002715 0.0000372782 0.0000123712 0.0000249720 0.0000194291 0.0000091853 0.0000257613
1403715281.36214 0.423828 0.065858 0.394288 0.815787 -0.140109 0.552032 0.100607 0.0000020358 0.0000002748 0.0000000278 0.0000004775 0.0000000258 0.0000002792 0.0000403935 0.0000131943 0.0000264426 0.0000194717 0.0000095831 0.0000264528
1403715281.41214 0.435849 0.067945 0.396485 0.815354 -0.146181 0.550287 0.104945 0.0000020890 0.0000002749 0.0000000221 0.0000004889 0.0000000280 0.0000002887 0.0000444688 0.0000143032 0.0000284894 0.0000202057 0.0000101944 0.0000275685
1403715281.46214 0.445305 0.067995 0.396440 0.814127 -0.152953 0.549203 0.110355 0.0000020339 0.0000002159 0.0000000191 0.0000004395 0.0000000181 0.0000002505 0.0000456969 0.0000140315 0.0000282698 0.0000197607 0.0000096691 0.0000268291
1403715281.51214 0.456612 0.069144 0.397491 0.812690 -0.160803 0.547822 0.116485 0.0000020046 0.0000001619 0.0000000138 0.0000004082 0.0000000094 0.0000002406 0.0000479317 0.0000139753 0.0000287029 0.0000197827 0.0000093247 0.0000266109
1403715281.56214 0.467852 0.070167 0.397540 0.811124 -0.169402 0.545976 0.123657 0.0000020449 0.0000001569 0.0000000090 0.0000004177 0.0000000123 0.0000002487 0.0000521692 0.0000148674 0.0000304712 0.0000203476 0.0000097025 0.0000273947
1403715281.61214 0.478594 0.070513 0.396679 0.808934 -0.179139 0.544377 0.131107 0.0000020863 0.0000001491 0.0000000051 0.0000004256 0.0000000151 0.0000002563 0.0000560715 0.0000155737 0.0000317167 0.0000208780 0.0000098849 0.0000276295
1403715281.66214 0.489566 0.070948 0.395191 0.806376 -0.190027 0.542595 0.138704 0.0000020146 0.0000000822 -0.0000000120 0.0000003909 -0.0000000003 0.0000002438 0.0000575978 0.0000147741 0.0000313819 0.0000202103 0.0000091094 0.0000269517
1403715281.71214 0.499914 0.071204 0.392647 0.803708 -0.201225 0.540296 0.147113 0.0000015951 0.0000000279 -0.0000000249 0.0000003344 -0.0000000159 0.0000002248 0.0000572268 0.0000127188 0.0000296199 0.0000171183 0.0000078084 0.0000251986
1403715281.76214 0.513614 0.072937 0.391943 0.800841 -0.213197 0.537641 0.155380 0.0000016343 0.0000000178 -0.0000000300 0.0000003451 -0.0000000130 0.0000002321 0.0000626324 0.0000136672 0.0000316313 0.0000179058 0.0000082793 0.0000261437
1403715281.81214 0.519381 0.069978 0.384581 0.797791 -0.225344 0.534811 0.163482 0.0000015634 0.0000000103 -0.0000000436 0.0000003343 -0.0000000217 0.0000002150 0.0000643023 0.0000128552 0.0000308105 0.0000172118 0.0000075552 0.0000250126
1403715281.86214 0.523988 0.065429 0.377135 0.793945 -0.237524 0.532670 0.171743 0.0000015543 0.0000000066 -0.0000000609 0.0000003382 -0.0000000181 0.0000002169 0.0000640531 0.0000115661 0.0000285857 0.0000156992 0.0000066068 0.0000229538
1403715281.91214 0.530173 0.064320 0.370218 0.790279 -0.249463 0.529748 0.180540 0.0000015375 0.0000000018 -0.0000000683 0.0000003395 -0.0000000167 0.0000002206 0.0000619132 0.0000107604 0.0000249971 0.0000153286 0.0000060038 0.0000200151
1403715281.96214 0.543433 0.065800 0.366488 0.786318 -0.261509 0.526992 0.188671 0.0000015182 -0.0000000191 -0.0000000760 0.0000003313 -0.0000000282 0.0000001871 0.0000647496 0.0000103459 0.0000248220 0.0000153119 0.0000057148 0.0000196041
1403715282.01214 0.558277 0.066884 0.362981 0.782256 -0.273495 0.524118 0.196410 0.0000015447 -0.0000000279 -0.0000000821 0.0000003404 -0.0000000240 0.0000001924 0.0000698943 0.0000109556 0.0000256906 0.0000158597 0.0000059701 0.0000197721
1403715282.06214 0.565798 0.066200 0.354410 0.778001 -0.285025 0.521422 0.203948 0.0000015210 -0.0000000361 -0.0000000875 0.0000003492 -0.0000000210 0.0000001961 0.0000704631 0.0000098315 0.0000238342 0.0000156499 0.0000052833 0.0000184476
1403715282.11214 0.578725 0.066956 0.348233 0.773919 -0.295101 0.518403 0.212658 0.0000015543 -0.0000000412 -0.0000000928 0.0000003581 -0.0000000178 0.0000002019 0.0000741741 0.0000098282 0.0000235827 0.0000162835 0.0000052284 0.0000180815
1403715282.16214 0.594504 0.066994 0.342788 0.769758 -0.305866 0.515447 0.219620 0.0000015821 -0.0000000461 -0.0000001018 0.0000003661 -0.0000000128 0.0000002075 0.0000798904 0.0000101968 0.0000241538 0.0000165687 0.0000053238 0.0000181695
1403715282.21214 0.601724 0.065265 0.333068 0.765351 -0.315546 0.512752 0.227494 0.0000015986 -0.0000000479 -0.0000001002 0.0000003684 -0.0000000091 0.0000002026 0.0000802670 0.0000097561 0.0000220599 0.0000166257 0.0000050371 0.0000170604
1403715282.26214 0.615972 0.062294 0.325911 0.761187 -0.325795 0.509311 0.234634 0.0000016207 -0.0000000503 -0.0000001105 0.0000003730 -0.0000000040 0.0000002084 0.0000847147 0.0000098197 0.0000216866 0.0000166469 0.0000049910 0.0000168147
1403715282.31214 0.625818 0.059259 0.316675 0.756867 -0.335845 0.505945 0.241621 0.0000016406 -0.0000000504 -0.0000001207 0.0000003711 -0.0000000024 0.0000002128 0.0000827679 0.0000090866 0.0000184212 0.0000163725 0.0000046193 0.0000154078
1403715282.36214 0.641838 0.059767 0.310046 0.752332 -0.345720 0.502472 0.248990 0.0000016737 -0.0000000564 -0.0000001283 0.0000003787 0.0000000012 0.0000002194 0.0000874211 0.0000089872 0.0000177497 0.0000170289 0.0000045950 0.0000151782
1403715282.41214 0.655101 0.056370 0.301811 0.748563 -0.354600 0.497833 0.257049 0.0000016946 -0.0000000544 -0.0000001417 0.0000003489 0.0000000076 0.0000002234 0.0000887679 0.0000083727 0.0000155056 0.0000166471 0.0000043212 0.0000143787
1403715282.46214 0.669904 0.049778 0.293521 0.743780 -0.364814 0.494426 0.263144 0.0000016649 -0.0000000134 -0.0000001211 0.0000003063 -0.0000000184 0.0000001840 0.0000889931 0.0000085842 0.0000128930 0.0000149490 0.0000043161 0.0000136024
1403715282.51214 0.689412 0.047222 0.286685 0.738695 -0.374055 0.491248 0.270350 0.0000016774 -0.0000000146 -0.0000001283 0.0000003033 -0.0000000152 0.0000001866 0.0000904758 0.0000078722 0.0000104129 0.0000140947 0.0000041430 0.0000129168
1403715282.56214 0.708966 0.047847 0.279461 0.733551 -0.383402 0.487882 0.277266 0.0000014808 0.0000000449 -0.0000000924 0.0000002521 -0.0000000437 0.0000001400 0.0000948659 0.0000076546 0.0000090405 0.0000127449 0.0000041217 0.0000127931
1403715282.61214 0.729829 0.047588 0.272596 0.727797 -0.391794 0.485619 0.284576 0.0000014694 0.0000000398 -0.0000000893 0.0000002581 -0.0000000412 0.0000001423 0.0001012314 0.0000073275 0.0000078696 0.0000129168 0.0000040862 0.0000127860
1403715282.66214 0.751378 0.046230 0.265014 0.721745 -0.400487 0.483808 0.290902 0.0000014955 0.0000000338 -0.0000000898 0.0000002634 -0.0000000383 0.0000001444 0.0001078446 0.0000069306 0.0000065390 0.0000129438 0.0000039400 0.0000127568
1403715282.71214 0.773036 0.045489 0.257426 0.715409 -0.409562 0.482009 0.296844 0.0000015246 0.0000000264 -0.0000000902 0.0000002695 -0.0000000358 0.0000001473 0.0001152265 0.0000065888 0.0000051507 0.0000132546 0.0000039281 0.0000128480
1403715282.76214 0.795363 0.044840 0.249354 0.709037 -0.418747 0.480534 0.301669 0.0000015085 0.0000000160 -0.0000000889 0.0000002747 -0.0000000327 0.0000001502 0.0001228743 0.0000060581 0.0000035858 0.0000133927 0.0000038964 0.0000129773
1403715282.81214 0.818963 0.042804 0.240439 0.703142 -0.428147 0.478085 0.306132 0.0000014958 0.0000000065 -0.0000000912 0.0000002783 -0.0000000287 0.0000001530 0.0001306871 0.0000055903 0.0000019257 0.0000133702 0.0000038642 0.0000131315
1403715282.86214 0.842944 0.040036 0.232185 0.697217 -0.436368 0.475407 0.312185 0.0000015205 0.0000000026 -0.0000000930 0.0000002813 -0.0000000248 0.0000001556 0.0001392998 0.0000051464 0.0000000761 0.0000134165 0.0000039508 0.0000133650
1403715282.91214 0.867486 0.037665 0.223095 0.691051 -0.444024 0.472952 0.318760 0.0000015403 -0.0000000009 -0.0000000925 0.0000002856 -0.0000000220 0.0000001588 0.0001481986 0.0000046886 -0.0000018073 0.0000134836 0.0000039599 0.0000135821
1403715282.96214 0.890530 0.037615 0.214113 0.684962 -0.452443 0.469939 0.324469 0.0000015668 -0.0000000065 -0.0000000956 0.0000002914 -0.0000000195 0.0000001628 0.0001581455 0.0000040246 -0.0000040074 0.0000138891 0.0000040471 0.0000139441
1403715283.01214 0.915188 0.035714 0.204841 0.678422 -0.460799 0.467399 0.330069 0.0000015902 -0.0000000125 -0.0000000972 0.0000002960 -0.0000000166 0.0000001663 0.0001684463 0.0000034811 -0.0000063418 0.0000141106 0.0000041145 0.0000143256
1403715283.06214 0.944135 0.029230 0.195758 0.671570 -0.469508 0.465087 0.335038 0.0000015568 -0.0000000189 -0.0000000964 0.0000002929 -0.0000000110 0.0000001688 0.0001783885 0.0000032666 -0.0000089870 0.0000135376 0.0000042456 0.0000147358
1403715283.11214 0.971842 0.021128 0.185343 0.664853 -0.478230 0.462843 0.339179 0.0000015667 -0.0000000253 -0.0000001004 0.0000002880 -0.0000000072 0.0000001710 0.0001879836 0.0000033106 -0.0000115135 0.0000125187 0.0000042986 0.0000151032
1403715283.16214 0.995184 0.018944 0.175932 0.657572 -0.487072 0.461072 0.343181 0.0000015870 -0.0000000387 -0.0000001011 0.0000002906 -0.0000000032 0.0000001738 0.0001993693 0.0000025349 -0.0000144832 0.0000126274 0.0000044308 0.0000157005
1403715283.21214 1.018566 0.017687 0.167010 0.650293 -0.495527 0.459134 0.347517 0.0000015953 -0.0000000309 -0.0000000948 0.0000002715 -0.0000000108 0.0000001649 0.0002102067 0.0000039093 -0.0000166897 0.0000094121 0.0000030165 0.0000156237
1403715283.26214 1.041454 0.014842 0.157599 0.643589 -0.503278 0.456578 0.352194 0.0000016170 -0.0000000394 -0.0000000987 0.0000002745 -0.0000000069 0.0000001670 0.0002218238 0.0000032180 -0.0000198496 0.0000094913 0.0000030856 0.0000163134
1403715283.31214 1.062468 0.014996 0.148369 0.636851 -0.511231 0.454039 0.356248 0.0000016415 -0.0000000499 -0.0000001033 0.0000002799 -0.0000000044 0.0000001712 0.0002351280 0.0000021950 -0.0000234283 0.0000098267 0.0000032240 0.0000171349
1403715283.36214 1.083350 0.015920 0.139503 0.630371 -0.517934 0.451224 0.361626 0.0000016684 -0.0000000559 -0.0000001048 0.0000002858 -0.0000000023 0.0000001755 0.0002496679 0.0000009796 -0.0000273258 0.0000103419 0.0000034148 0.0000180813
1403715283.41214 1.102386 0.015014 0.131196 0.625230 -0.525396 0.446789 0.365276 0.0000016878 -0.0000000623 -0.0000001134 0.0000002867 0.0000000013 0.0000001791 0.0002601036 0.0000003168 -0.0000307912 0.0000106158 0.0000035864 0.0000190178
1403715283.46214 1.120927 0.016187 0.122491 0.620548 -0.532736 0.441896 0.368565 0.0000017084 -0.0000000670 -0.0000001255 0.0000002899 0.0000000035 0.0000001846 0.0002723831 -0.0000006133 -0.0000346652 0.0000110734 0.0000037990 0.0000200761
1403715283.51214 1.135969 0.015192 0.114860 0.616778 -0.539138 0.435957 0.372634 0.0000012756 -0.0000000466 -0.0000001030 0.0000002880 0.0000000024 0.0000001860 0.0002714563 -0.0000019094 -0.0000371596 0.0000100866 0.0000036910 0.0000208606
1403715283.56214 1.151350 0.017085 0.107461 0.613251 -0.545141 0.429716 0.376947 0.0000012640 -0.0000000435 -0.0000001100 0.0000002904 0.0000000034 0.0000001914 0.0002816154 -0.0000028442 -0.0000409765 0.0000105423 0.0000039377 0.0000220416
